奔腾,奔腾小马,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2c3f3931dac84fc0800e756d85892b7f~tplv-resize:640:0.png,57863,"[2.49, 3.99]",一汽奔腾,113,微型车,纯电动,2024.08,3年或10万公里
凯迪拉克,凯迪拉克CT5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f28cd404dc954262aad8137173a19ac7~tplv-resize:640:0.png,57633,"[20.97, 27.17]",上汽通用凯迪拉克,114,中型车,汽油,2023.12,3年不限公里
五菱汽车,五菱星光PHEV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/8924355e448749aa9288b46515577d4d~tplv-resize:640:0.png,57078,"[6.98, 9.58]",上汽通用五菱,115,紧凑型车,插电式混合动力,2024.04,6年或15万公里
吉利银河,银河L6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/064dd2c44a68466aa6e63c7c6e423fea~tplv-resize:640:0.png,57028,"[9.68, 12.18]",吉利银河,116,紧凑型车,插电式混合动力,2024.03,4年或10万公里
广汽传祺,传祺GS3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/9bd75ad6814541c1a3692ae64670405d~tplv-resize:640:0.png,55790,"[6.88, 9.48]",广汽传祺,117,小型SUV,汽油,2024.08,3年或10万公里
长安,长安UNI-Z PHEV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b9b0c69241984c2a9a06d1245041668f~tplv-resize:640:0.png,55515,"[9.99, 12.29]",长安汽车,118,紧凑型SUV,插电式混合动力,2024.03,3年或12万公里
奇瑞,瑞虎9,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/024eb2afb99a4fb0b5511d4841e0bd93~tplv-resize:640:0.png,55146,"[14.29, 19.39]",奇瑞汽车,119,中型SUV,汽油,2024.09,3年或10万公里
长安启源,长安启源A07,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f57c8505659b455bbc236524ae5dd97b~tplv-resize:640:0.png,54956,"[10.99, 14.99]",长安启源,120,中大型车,增程式,2024.10,3年或12万公里
大众,探歌,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/854d92c324144a8baf7f4a1229768f5e~tplv-resize:640:0.png,54944,"[11.89, 13.99]",一汽-大众,121,紧凑型SUV,汽油,2024.12,3年或10万公里
奥迪,奥迪A3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2440a980eef1436cb95453dd91fbddb3~tplv-resize:640:0.png,54761,"[13.2, 16.88]",一汽奥迪,122,紧凑型车,汽油,2024.11,3年或10万公里
领克,领克03,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f89333a7e71944f4b83eb00d0fdcb43b~tplv-resize:640:0.png,54566,"[11.68, 42.03]",领克,123,紧凑型车,汽油,2024.08,4年或10万公里
大众,途昂,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ccb089990a3f4e37b9bb11d861a93590~tplv-resize:640:0.png,54377,"[22.9, 36.9]",上汽大众,124,中大型SUV,汽油,2024.04,3年或10万公里
深蓝汽车,深蓝SL03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bc1f1a5dd5224fef92fe1f6631941084~tplv-resize:640:0.png,53791,"[11.49, 19.19]",深蓝汽车,125,中型车,增程式,2024.09,3年或12万公里
丰田,皇冠陆放,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6a54e46c78d64ba591d90dcaeeef96d7~tplv-resize:640:0.png,52672,"[24.48, 29.28]",一汽丰田,126,中型SUV,油电混合,2024.05,3年或10万公里
吉利汽车,星愿,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e8e75fa565924a5e8a3a7951b1ad299d~tplv-resize:640:0.png,52659,"[6.98, 9.88]",吉利汽车,127,小型车,纯电动,2024.10,6年或15万公里
奇瑞,风云T9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/987f70ca6b3c413da98a13edc41e2ae4~tplv-resize:640:0.png,52064,"[12.99, 17.99]",奇瑞汽车,128,中型SUV,插电式混合动力,2024.05,3年或10万公里
岚图,岚图梦想家 PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/61546f4478c842d9a93af6ace4a8df88~tplv-resize:640:0.png,51648,"[32.99, 63.99]",岚图汽车,129,中大型MPV,插电式混合动力,2024.09,5年或10万公里
奔驰,奔驰GLB,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/05ab32d0a1b6462fa97ed1ecb0b2b183~tplv-resize:640:0.png,50983,"[22.59, 28.19]",北京奔驰,131,紧凑型SUV,汽油,2023.08,3年不限公里
丰田,丰田bZ3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/763462e08f15480e95ea6bfde82ef44c~tplv-resize:640:0.png,50931,"[13.98, 16.98]",一汽丰田,132,中型车,纯电动,2024.01,3年或10万公里
蔚来,蔚来ET5T,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/7c86e84ebc674b73a5bfe003db33ceb0~tplv-resize:640:0.png,50869,"[29.8, 35.6]",蔚来,133,中型车,纯电动,2024.02,3年或12万公里
广汽传祺,传祺M6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f64608b8a07c4434b2bc00a55ecb48b3~tplv-resize:640:0.png,50126,"[9.98, 14.48]",广汽传祺,134,紧凑型MPV,汽油,2024.05,3年或10万公里
别克,威朗,https://p3-dcd.byteimg.com/img/motor-mis-img/f935e27660580af362e268ff6a476c00~tplv-resize:640:0.png,50120,"[6.89, 9.89]",上汽通用别克,135,紧凑型车,汽油,2021.08,3年或10万公里
广汽传祺,传祺E8 PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/824a133a475f41cc98f6be8eeac81de6~tplv-resize:640:0.png,49163,"[23.28, 23.88]",广汽传祺,136,中型MPV,插电式混合动力,2024.09,3年或10万公里
方程豹,豹5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5c4dd30eca44470a917d366c05db05b5~tplv-resize:640:0.png,48913,"[23.98, 30.28]",方程豹,137,中型SUV,插电式混合动力,2024.04,6年或15万公里
别克,微蓝6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/878a489c1fc54377b34bffe0ed76b4c7~tplv-resize:640:0.png,48878,"[9.09, 9.78]",上汽通用别克,138,紧凑型车,纯电动,2023.10,3年或10万公里
小鹏汽车,小鹏MONA M03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c09268085ead46d5bf15eb93c3d00ee3~tplv-resize:640:0.png,48580,"[11.98, 15.58]",小鹏汽车,139,紧凑型车,纯电动,2024.08,5年或12万公里
宝马,宝马i3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/7179c9f91abe42b1bfca1c56f5cc2763~tplv-resize:640:0.png,47833,"[24.79, 28.99]",华晨宝马,140,中型车,纯电动,2024.09,3年或10万公里
名爵,MG5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a96e16e42b5745c8bbaa214569929459~tplv-resize:640:0.png,47233,"[5.39, 7.59]",上汽集团,141,紧凑型车,汽油,2024.09,3年或10万公里
捷途,捷途山海T2,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4a0ea64269a74343bde175aed5b85121~tplv-resize:640:0.png,47120,"[17.49, 21.99]",奇瑞汽车,142,紧凑型SUV,插电式混合动力,2024.04,4年或10万公里
极氪,ZEEKR 007,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/1c48f95229f4447f99ce1aff744e1f6b~tplv-resize:640:0.png,46903,"[20.99, 29.99]",极氪,143,中型车,纯电动,2024.08,4年或10万公里
比亚迪,宋L EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f99d0335414949269df51b88eb01c2ee~tplv-resize:640:0.png,46683,"[18.98, 24.98]",比亚迪,144,中型SUV,纯电动,2024.08,6年或15万公里
长安欧尚,长安欧尚Z6,https://p3-dcd.byteimg.com/img/motor-mis-img/252d100a630cf9298e8d357fe7ee8ffc~tplv-resize:640:0.png,46183,"[8.69, 12.09]",长安汽车,145,紧凑型SUV,汽油,2023.06,3年或10万公里
坦克,坦克400 Hi4-T,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a007d7b6482c4ae293d94bcb2b39c278~tplv-resize:640:0.png,45402,"[28.58, 28.98]",长城汽车,146,中大型SUV,插电式混合动力,2024.03,5年或15万公里
iCAR,iCAR 03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/82dbd5e3acb94713afb3cb4da2dfaa68~tplv-resize:640:0.png,45352,"[10.98, 16.98]",奇瑞新能源,147,紧凑型SUV,纯电动,2024.02,4年或12万公里
欧拉,欧拉好猫,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ab007f27b81e4ca2b912c9d10a844f21~tplv-resize:640:0.png,45277,"[10.58, 13.58]",长城汽车,148,小型车,纯电动,2024.04,4年或15万公里
坦克,坦克500 Hi4-T,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/d1d12a60d3544b438485a8e392d5b40f~tplv-resize:640:0.png,44661,"[33.5, 34.5]",长城汽车,149,中大型SUV,插电式混合动力,2024.03,5年或15万公里
魏牌,蓝山,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b2fc30a2a36d424ebde60c4da44d95b6~tplv-resize:640:0.png,44416,"[26.34, 32.18]",长城汽车,150,中大型SUV,插电式混合动力,2024.08,5年或15万公里
零跑汽车,零跑C16,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5030f68f58884da894907f5032746f56~tplv-resize:640:0.png,44359,"[15.08, 18.48]",零跑汽车,151,中大型SUV,增程式,2024.06,4年或12万公里
别克,君威,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/1ca5dc0a6f3b422992f8751ecff1fc75~tplv-resize:640:0.png,42925,"[11.98, 20.98]",上汽通用别克,152,中型车,汽油,2023.07,3年或10万公里
小鹏汽车,小鹏G6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/72109b312e44489aafdf2feff20ddcea~tplv-resize:640:0.png,42805,"[16.99, 23.19]",小鹏汽车,153,中型SUV,纯电动,2024.04,5年或12万公里
雪佛兰,科鲁泽,https://p9-dcd.byteimg.com/img/motor-mis-img/f63e0947469ae2d9cee05bbdc33f514f~tplv-resize:640:0.png,42340,"[5.99, 7.39]",上汽通用雪佛兰,154,紧凑型车,汽油,2023.06,3年或10万公里
领克,领克06,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/abe30ddb85124dd58ed5382a127cccc3~tplv-resize:640:0.png,42174,"[9.76, 11.76]",领克,155,小型SUV,汽油,2024.09,4年或10万公里
本田,英仕派,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ef6d0556350841e6af59525e8fc2f679~tplv-resize:640:0.png,41556,"[13.28, 17.98]",东风本田,156,中型车,汽油,2024.12,3年或10万公里
大众,高尔夫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0b13aaca751e44cf97b6f19e6a817e3c~tplv-resize:640:0.png,41552,"[12.48, 15.69]",一汽-大众,157,紧凑型车,汽油,2024.11,3年或10万公里
北京,北京BJ30,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/448e361c30114bf38bc4f1c09495a63f~tplv-resize:640:0.png,41363,"[9.99, 13.69]",北京汽车,158,紧凑型SUV,汽油,2024.05,5年或15万公里
捷途,捷途大圣,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/1eee229af39646499f1cd986e4d3a0a0~tplv-resize:640:0.png,40543,"[8.59, 12.19]",奇瑞汽车,159,紧凑型SUV,汽油,2025.01,4年或10万公里
奇瑞新能源,QQ冰淇淋,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/704ce989c2aa482db3fc574268f72be0~tplv-resize:640:0.png,40331,"[2.99, 5.69]",奇瑞新能源,160,微型车,纯电动,2024.04,3年或10万公里
奥迪,奥迪Q3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/1c04470ca1254ad18552cabef768699e~tplv-resize:640:0.png,39962,"[17.94, 21.83]",一汽奥迪,161,紧凑型SUV,汽油,2023.08,3年或10万公里
领克,领克07 EM-P,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6f3a6c53d77f4c52afe40e33358f9164~tplv-resize:640:0.png,39738,"[15.68, 19.28]",领克,162,中型车,插电式混合动力,2024.05,5年或10万公里
比亚迪,海狮07 EV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b69406d5ac524645bf19f945f9887226~tplv-resize:640:0.png,39376,"[18.98, 23.98]",比亚迪,163,中型SUV,纯电动,2024.05,6年或15万公里
奔腾,奔腾B70,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3ec19a140c534277bfacccbd38d114f1~tplv-resize:640:0.png,39227,"[9.38, 12.19]",一汽奔腾,164,中型车,汽油,2024.09,3年或10万公里
捷途,捷途X90,https://p3-dcd.byteimg.com/img/motor-mis-img/db9398d99c107b4ee74543a8fa39cc8a~tplv-resize:640:0.png,38732,"[12.99, 16.29]",奇瑞汽车,165,中型SUV,汽油,2022.11,4年或10万公里
长安启源,长安启源A05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/90024992da744ec1a944c8bca7fb6a3d~tplv-resize:640:0.png,38397,"[7.29, 9.79]",长安启源,166,紧凑型车,插电式混合动力,2024.10,3年或12万公里
长安启源,长安启源Q05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6d8aba34e5be4ed88438323037606eda~tplv-resize:640:0.png,38177,"[8.99, 10.69]",长安启源,167,紧凑型SUV,插电式混合动力,2024.10,3年或12万公里
埃安,AION V,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/614a4621253c4dc798362d4a8600376e~tplv-resize:640:0.png,37883,"[12.48, 18.48]",广汽埃安新能源,168,紧凑型SUV,纯电动,2024.07,4年或15万公里
极氪,ZEEKR 7X,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/43587659f5b647bab7efa6acc32aea01~tplv-resize:640:0.png,37656,"[22.99, 26.99]",极氪,169,中型SUV,纯电动,2024.09,4年或10万公里
捷达,捷达VA3,https://p3-dcd.byteimg.com/img/motor-mis-img/f79702d9c2dbaebafe617f329a66b999~tplv-resize:640:0.png,37520,"[6.48, 9.18]",一汽-大众捷达,170,紧凑型车,汽油,2023.12,3年或10万公里
大众,ID.4 CROZZ,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f9974445720e412b8d4d170c3e56c47f~tplv-resize:640:0.png,37491,"[13.98, 29.86]",一汽-大众,171,紧凑型SUV,纯电动,2025.01,3年或10万公里
东风纳米,纳米01,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/add1c9822ff64d33972dc6b825c026e1~tplv-resize:640:0.png,37338,"[6.98, 10.18]",东风汽车,172,小型车,纯电动,2024.08,3年不限里程
ARCFOX极狐,极狐 阿尔法T5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/67e354e4850c48c4bd343e14d2fac9c5~tplv-resize:640:0.png,37107,"[12.4, 16.8]",北汽新能源,173,中型SUV,纯电动,2024.11,3年或12万公里
智己汽车,智己LS6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/084f848f230e416c9b0323ea4adae057~tplv-resize:640:0.png,36530,"[20.49, 27.79]",智己汽车,174,中大型SUV,纯电动,2024.09,5年或15万公里
AITO,问界M5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/496ed7b008a94e6e909066e904f4cfd4~tplv-resize:640:0.png,36511,"[24.98, 27.98]",赛力斯汽车,175,中型SUV,增程式,2024.04,4年或10万公里
北京,北京BJ40,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3a8235032015497c9b815308b121c4ba~tplv-resize:640:0.png,36080,"[13.98, 26.99]",北京汽车,176,紧凑型SUV,汽油,2023.11,5年或15万公里
比亚迪,海豹DM,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/74e489c57f1945faa0ac4ede26c433d1~tplv-resize:640:0.png,35863,"[14.98, 21.98]",比亚迪,177,中型车,插电式混合动力,2024.02,6年或15万公里
大众,ID.4 X,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d16a58d2e5694b7b84ba28604a6421e0~tplv-resize:640:0.png,34498,"[14.59, 21.94]",上汽大众,178,紧凑型SUV,纯电动,2024.07,3年或10万公里
日产,奇骏,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/31ba9f3eddb343669f6e44a5491098a3~tplv-resize:640:0.png,34490,"[14.43, 25.19]",东风日产,179,紧凑型SUV,汽油电驱,2024.08,3年或10万公里
大众,揽巡,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8c9d9e77cdf5462a86c515692b23c0e7~tplv-resize:640:0.png,34358,"[21.29, 26.99]",一汽-大众,180,中大型SUV,汽油,2024.06,3年或10万公里
马自达,马自达CX-5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/cd0afa2cba3f4fba8cfdac2c4417a60b~tplv-resize:640:0.png,32711,"[11.58, 18.78]",长安马自达,181,紧凑型SUV,汽油,2023.09,3年或10万公里
红旗,红旗HS3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e1aa9f6b9b6548ef911eac8dae5809a5~tplv-resize:640:0.png,32461,"[11.58, 14.28]",一汽红旗,182,紧凑型SUV,汽油,2024.08,4年或10万公里
吉利汽车,豪越L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4a1e80d647b14ac59839c80e06752338~tplv-resize:640:0.png,32360,"[11.29, 14.39]",吉利汽车,183,中型SUV,汽油,2024.10,4年或10万公里
本田,奥德赛,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3aba5f893cc24c5fbd7b55f0ac301aa5~tplv-resize:640:0.png,31980,"[19.28, 39.68]",广汽本田,184,中型MPV,油电混合,2023.06,3年或10万公里
东风风神,皓瀚,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b16464bb1fab42c786e9393c1c924409~tplv-resize:640:0.png,31719,"[7.99, 12.99]",东风乘用车,185,紧凑型SUV,汽油,2025.01,3年或10万公里
吉利银河,银河E8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/de6b6d01181f4d3abb49d483614254cc~tplv-resize:640:0.png,31440,"[15.58, 21.88]",吉利银河,186,中大型车,纯电动,2024.04,6年或15万公里
五菱汽车,五菱荣光,https://p3-dcd.byteimg.com/img/motor-mis-img/efe0d84f810fe914c7149c51a6c1658e~tplv-resize:640:0.png,31204,"[4.09, 4.75]",上汽通用五菱,187,微面,汽油,2023.04,3年或6万公里
凯迪拉克,凯迪拉克XT5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a7afef1b740b4f6d9baf0c3d88671967~tplv-resize:640:0.png,31115,"[24.27, 33.59]",上汽通用凯迪拉克,188,中型SUV,48V轻混系统,2024.09,3年不限公里
智界,智界S7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ddc4cbbe4f514dd4bc5417ee6fcc0ceb~tplv-resize:640:0.png,30967,"[22.98, 34.98]",奇瑞汽车,189,中大型车,纯电动,2024.11,4年或10万公里
现代,途胜,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5105f4c26b00494cb2e2986ab373e02e~tplv-resize:640:0.png,29939,"[12.98, 19.38]",北京现代,190,紧凑型SUV,汽油,2024.11,可选:3年或15万公里/5年或10万公里/7年或7万公里
福特,锐界,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/cad5d4e17ca14279b93666d6e3164c3d~tplv-resize:640:0.png,29878,"[19.88, 29.18]",长安福特,191,中型SUV,汽油,2024.11,3年或10万公里
奔驰,奔驰A级,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f3aa2146a74d47e3ab4844b147234e37~tplv-resize:640:0.png,29728,"[16.13, 18.57]",北京奔驰,192,紧凑型车,汽油,2024.03,3年不限公里
广汽传祺,传祺GS4,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3a5e2422597647f882593d68647ec164~tplv-resize:640:0.png,29607,"[9.58, 11.18]",广汽传祺,193,紧凑型SUV,汽油,2024.04,3年或10万公里
东风风神,风神L7 PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/810ea03ad55e4827938121276962fb85~tplv-resize:640:0.png,29589,"[12.89, 14.99]",东风乘用车,194,紧凑型SUV,插电式混合动力,2024.04,10年不限里程(责任免除条款以官方为准）
马自达,马自达3 昂克赛拉,https://p9-dcd.byteimg.com/img/motor-mis-img/2ed9950bbf60e473727cf3735528e032~tplv-resize:640:0.png,29563,"[8.99, 17.99]",长安马自达,195,紧凑型车,汽油,2023.07,3年或10万公里
奇瑞,风云A8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e3779d73cdd0475ab7233abe59c2833d~tplv-resize:640:0.png,29435,"[9.59, 12.99]",奇瑞汽车,196,紧凑型车,插电式混合动力,2024.01,3年或10万公里
奇瑞新能源,小蚂蚁,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/011420ab3a24497c94d94a07114ff802~tplv-resize:640:0.png,29422,"[5.99, 9.2999]",奇瑞新能源,197,微型车,纯电动,2024.10,3年或12万公里
沃尔沃,沃尔沃S90,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c90c12ad6fb1434aaa2ce1fff151b890~tplv-resize:640:0.png,29340,"[29.85, 36.3]",沃尔沃亚太,198,中大型车,48V轻混系统,2024.06,3年不限公里
蓝电,蓝电E5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a85640b7405f4d3889bc55d63edbd0c8~tplv-resize:640:0.png,29193,"[9.68, 15.19]",赛力斯蓝电汽车,199,中型SUV,插电式混合动力,2024.04,6年或15万公里
比亚迪,海豹07 DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/21c86551d6fd4be9abf33119dfe312a0~tplv-resize:640:0.png,29137,"[13.48, 19.08]",比亚迪,200,中型车,插电式混合动力,2024.08,6年或15万公里
长安欧尚,长安欧尚X7 PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/792f6cb783e54f76b76081f54eb719ad~tplv-resize:640:0.png,28966,"[5.99, 11.39]",长安汽车,201,紧凑型SUV,汽油,2023.04,3年或10万公里
大众,大众CC,https://p3-dcd.byteimg.com/img/motor-mis-img/bc1a1cfcace04020b804932bd5c78749~tplv-resize:640:0.png,28741,"[18.99, 24.49]",一汽-大众,202,中型车,汽油,2024.07,3年或10万公里
广汽传祺,传祺GS8,https://p3-dcd.byteimg.com/img/motor-mis-img/bef1e4e3b0a6fa8de3a3887dcaaad449~tplv-resize:640:0.png,25229,"[15.48, 24.08]",广汽传祺,221,中型SUV,汽油,2024.05,5年或15万公里
哪吒汽车,哪吒L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7c9a57b8f81641d99193dd643992e48f~tplv-resize:640:0.png,25108,"[12.99, 16.29]",合众汽车,222,中型SUV,增程式,2024.04,4年或12万公里
林肯,航海家,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7cd94d6f7b684de6bc404cb7d046ae5e~tplv-resize:640:0.png,24496,"[27.08, 41.38]",长安林肯,223,中型SUV,汽油,2024.09,5年或14万公里
小鹏汽车,小鹏G9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0550fe84f8e849de8fa41d72620f9e65~tplv-resize:640:0.png,24295,"[22.89, 32.49]",小鹏汽车,224,中大型SUV,纯电动,2023.09,5年或12万公里
沃尔沃,沃尔沃S60,https://p3-dcd.byteimg.com/img/motor-mis-img/917e910a69010277adf7b04033758613~tplv-resize:640:0.png,23763,"[18.9, 25.81]",沃尔沃亚太,225,中型车,48V轻混系统,2024.06,3年不限公里
智己汽车,智己L6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/7e7a9308f6714099997c4ff478660e92~tplv-resize:640:0.png,23705,"[20.49, 32.59]",智己汽车,226,中大型车,纯电动,2024.05,5年或15万公里
五菱汽车,五菱星驰,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8aeb5f1c39fe4c509540e272edfac572~tplv-resize:640:0.png,23699,"[4.98, 7.78]",上汽通用五菱,227,小型SUV,汽油,2023.04,3年或10万公里
别克,别克GL8 PHEV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a62341ab1a274469a97245d03f8a9336~tplv-resize:640:0.png,23495,"[35.99, 41.99]",上汽通用别克,228,中大型MPV,插电式混合动力,2024.04,3年或10万公里
星途,星纪元 ET,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/fd102a950eaa467dbec573d6a31672d1~tplv-resize:640:0.png,23157,"[18.98, 31.98]",星途,229,中大型SUV,增程式,2024.12,4年或12万公里
smart,smart精灵#1,https://p3-dcd.byteimg.com/img/motor-mis-img/d3dc084ea15c3a5ddb79094343132daa~tplv-resize:640:0.png,22970,"[15.49, 28.49]",smart,230,小型SUV,纯电动,2024.04,4年或15万公里
极氪,ZEEKR 009,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c5ecf660a7f646869a483fdede95b2a8~tplv-resize:640:0.png,22631,"[43.9, 78.9]",极氪,231,中大型MPV,纯电动,2024.07,4年或10万公里
奇瑞,瑞虎3x,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/359e33695ba04757bb83246794819b05~tplv-resize:640:0.png,22452,"[4.19, 6.49]",奇瑞汽车,232,小型SUV,汽油,2024.04,3年或10万公里
星途,星途凌云,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/853fdb987a25489ab4c0cfeebfc4c3bf~tplv-resize:640:0.png,22430,"[11.77, 15.79]",星途,233,中型SUV,汽油,2024.07,3年或10万公里
东风风神,奕炫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ffa044794a4f4488a9f2ecb0ebae4592~tplv-resize:640:0.png,22284,"[6.19, 9.39]",东风乘用车,234,紧凑型车,汽油,2024.01,3年或10万公里
现代,现代ix35,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4759d1d531d7489dbb01a2bad3506c6b~tplv-resize:640:0.png,22210,"[9.48, 14.08]",北京现代,235,紧凑型SUV,汽油,2023.06,可选：5年或10万公里/7年或7万公里/3年或15万公里
ARCFOX极狐,极狐 阿尔法S5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5b750ec372c142d485d2c6c3a1fa0762~tplv-resize:640:0.png,21712,"[12.9, 18.5]",北汽新能源,236,中型车,纯电动,2024.08,3年12万公里
小鹏汽车,小鹏X9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/dea281f2400b459897787fc584c29832~tplv-resize:640:0.png,21608,"[34.48, 40.48]",小鹏汽车,237,中大型MPV,纯电动,2024.01,5年或12万公里
零跑汽车,零跑C01,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7f0665963c5840f1b242d1f14a6e970c~tplv-resize:640:0.png,21571,"[12.48, 14.68]",零跑汽车,238,中大型车,纯电动,2024.03,4年或12万公里
福特,领睿,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a4bb9d35af694fbd9ba21ba61bdce752~tplv-resize:640:0.png,21459,"[10.98, 15.35]",江铃福特,239,中型SUV,汽油,2024.10,3年或10万公里
奇瑞,探索06,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e9d6773aab6241fa8d8e33e4e4162519~tplv-resize:640:0.png,21456,"[8.99, 15.99]",奇瑞汽车,240,紧凑型SUV,汽油,2024.08,3年或10万公里
深蓝汽车,深蓝S05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1c1924725eb54ad986ed0d1b8ed929fe~tplv-resize:640:0.png,20942,"[11.49, 14.49]",深蓝汽车,241,紧凑型SUV,纯电动,2024.10,3年或12万公里
